mesh_code_3rd	osm_road_length	diff_length	diff_percentage	wkt
54390092	6237.14592726632	-1653	-36.06	MULTIPOLYGON(((139.025 36.0750000024026,139.025 36.0833333357362,139.0375 36.0833333357362,139.0375 36.0750000024026,139.025 36.0750000024026)))
54390093	942.989518435679	-365	-63.42	MULTIPOLYGON(((139.0375 36.0750000024026,139.0375 36.0833333357362,139.05 36.0833333357362,139.05 36.0750000024026,139.0375 36.0750000024026)))
54390094	431.207101583097	9	2.22	MULTIPOLYGON(((139.05 36.0750000024026,139.05 36.0833333357362,139.0625 36.0833333357362,139.0625 36.0750000024026,139.05 36.0750000024026)))
54390095	2589.79465111602	-1294	-99.98	MULTIPOLYGON(((139.0625 36.0750000024026,139.0625 36.0833333357362,139.075 36.0833333357362,139.075 36.0750000024026,139.0625 36.0750000024026)))
54390096	2778.27657402865	408	12.82	MULTIPOLYGON(((139.075 36.0750000024026,139.075 36.0833333357362,139.0875 36.0833333357362,139.0875 36.0750000024026,139.075 36.0750000024026)))
54390097	8506.29596101645	-4008	-89.11	MULTIPOLYGON(((139.0875 36.0750000024026,139.0875 36.0833333357362,139.1 36.0833333357362,139.1 36.0750000024026,139.0875 36.0750000024026)))
54390098	11326.9679162414	-5466	-93.29	MULTIPOLYGON(((139.1 36.0750000024026,139.1 36.0833333357362,139.1125 36.0833333357362,139.1125 36.0750000024026,139.1 36.0750000024026)))
54390099	5192.24764791243	-1045	-25.20	MULTIPOLYGON(((139.1125 36.0750000024026,139.1125 36.0833333357362,139.125 36.0833333357362,139.125 36.0750000024026,139.1125 36.0750000024026)))
54390101	4290.4490859485	-84	-2.00	MULTIPOLYGON(((139.137500000002 36.0000000024,139.137500000002 36.0083333357336,139.150000000002 36.0083333357336,139.150000000002 36.0000000024,139.137500000002 36.0000000024)))
54390102	2865.4368707294	21	0.74	MULTIPOLYGON(((139.150000000002 36.0000000024,139.150000000002 36.0083333357336,139.162500000002 36.0083333357336,139.162500000002 36.0000000024,139.150000000002 36.0000000024)))
54390103	3177.86941119242	9	0.28	MULTIPOLYGON(((139.162500000002 36.0000000024,139.162500000002 36.0083333357336,139.175000000002 36.0083333357336,139.175000000002 36.0000000024,139.162500000002 36.0000000024)))
54390104	1137.08226230543	860	43.08	MULTIPOLYGON(((139.175000000002 36.0000000024,139.175000000002 36.0083333357336,139.187500000002 36.0083333357336,139.187500000002 36.0000000024,139.175000000002 36.0000000024)))
54390105	983.042395702925	1136	53.63	MULTIPOLYGON(((139.187500000002 36.0000000024,139.187500000002 36.0083333357336,139.200000000002 36.0083333357336,139.200000000002 36.0000000024,139.187500000002 36.0000000024)))
54390106	5147.94545597635	-679	-15.21	MULTIPOLYGON(((139.200000000002 36.0000000024,139.200000000002 36.0083333357336,139.212500000002 36.0083333357336,139.212500000002 36.0000000024,139.200000000002 36.0000000024)))
54390108	5059.05486989034	-482	-10.53	MULTIPOLYGON(((139.225000000002 36.0000000024,139.225000000002 36.0083333357336,139.237500000002 36.0083333357336,139.237500000002 36.0000000024,139.225000000002 36.0000000024)))
54390109	4346.00219516069	-1081	-33.10	MULTIPOLYGON(((139.237500000002 36.0000000024,139.237500000002 36.0083333357336,139.250000000002 36.0083333357336,139.250000000002 36.0000000024,139.237500000002 36.0000000024)))
54390110	2651.50363740454	-624	-30.80	MULTIPOLYGON(((139.125000000002 36.0083333357336,139.125000000002 36.0166666690672,139.137500000002 36.0166666690672,139.137500000002 36.0083333357336,139.125000000002 36.0083333357336)))
54390111	1666.82897955032	-38	-2.38	MULTIPOLYGON(((139.137500000002 36.0083333357336,139.137500000002 36.0166666690672,139.150000000002 36.0166666690672,139.150000000002 36.0083333357336,139.137500000002 36.0083333357336)))
